refArea,EndDate,Currency,Item Code,StartDate,Value,Observation URI,references,Month,publisher,Year,Item,dataset
http://dbpedia.org/resource/Lebanon,12/31/1970,Lebanese Pound,LCU,1/1/1970,3.27E+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1970,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1970,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1971,Lebanese Pound,LCU,1/1/1971,3.23E+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1971,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1971,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1972,Lebanese Pound,LCU,1/1/1972,3.05E+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1972,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1972,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1973,Lebanese Pound,LCU,1/1/1973,2.61E+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1973,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1973,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1974,Lebanese Pound,LCU,1/1/1974,2.33E+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1974,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1974,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1975,Lebanese Pound,LCU,1/1/1975,2.30E+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1975,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1975,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1976,Lebanese Pound,LCU,1/1/1976,2.87E+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1976,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1976,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1977,Lebanese Pound,LCU,1/1/1977,3.07E+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1977,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1977,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1978,Lebanese Pound,LCU,1/1/1978,2.96E+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1978,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1978,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1979,Lebanese Pound,LCU,1/1/1979,3.24E+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1979,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1979,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1980,Lebanese Pound,LCU,1/1/1980,3.44E+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1980,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1980,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1981,Lebanese Pound,LCU,1/1/1981,4.31E+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1981,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1981,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1982,Lebanese Pound,LCU,1/1/1982,4.74E+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1982,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1982,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1983,Lebanese Pound,LCU,1/1/1983,4.53E+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1983,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1983,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1984,Lebanese Pound,LCU,1/1/1984,6.51E+00,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1984,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1984,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1985,Lebanese Pound,LCU,1/1/1985,1.64E+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1985,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1985,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1986,Lebanese Pound,LCU,1/1/1986,3.84E+01,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1986,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1986,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1987,Lebanese Pound,LCU,1/1/1987,2.25E+02,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1987,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1987,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1988,Lebanese Pound,LCU,1/1/1988,4.09E+02,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1988,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1988,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1989,Lebanese Pound,LCU,1/1/1989,4.97E+02,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1989,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1989,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1990,Lebanese Pound,LCU,1/1/1990,6.95E+02,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1990,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1990,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1991,Lebanese Pound,LCU,1/1/1991,9.28E+02,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1991,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1991,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1992,Lebanese Pound,LCU,1/1/1992,1.71E+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1992,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1992,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1993,Lebanese Pound,LCU,1/1/1993,1.74E+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1993,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1993,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1994,Lebanese Pound,LCU,1/1/1994,1.68E+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1994,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1994,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1995,Lebanese Pound,LCU,1/1/1995,1.62E+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1995,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1995,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1996,Lebanese Pound,LCU,1/1/1996,1.57E+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1996,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1996,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1997,Lebanese Pound,LCU,1/1/1997,1.54E+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1997,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1997,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1998,Lebanese Pound,LCU,1/1/1998,1.52E+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1998,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1998,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/1999,Lebanese Pound,LCU,1/1/1999,1.51E+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-1999,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,1999,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/2000,Lebanese Pound,LCU,1/1/2000,1.51E+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-2000,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,2000,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/2001,Lebanese Pound,LCU,1/1/2001,1.51E+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-2001,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,2001,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/2002,Lebanese Pound,LCU,1/1/2002,1.51E+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-2002,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,2002,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
http://dbpedia.org/resource/Lebanon,12/31/2003,Lebanese Pound,LCU,1/1/2003,1.51E+03,http://linked.aub.edu.lb/CODEC/Lebanon/observation/exchange-rates-Lebanon-Local+currency+units+per+USD-Annual+value-2003,https://data.humdata.org/dataset/faostat-food-prices-for-lebanon,Annual value,Food and Agriculture Organization,2003,Local currency units per USD,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/exchange-rates-Lebanon
